,OCID,Category,Predicted,CleanText
14218,ocds-591adf-9390285909,Royalties,other,"the contractor shall pay to the government a royalty at a rate depending on the total daily production in a development area of all crude oil and natural gas produced and saved and not used in petroleum operations and determined according to the following incremental scale 
average crude oil production from a development area 
first 20 000 barrels per day bpd x government x contractor 
next 20 000 bpd x government x contractor 
next 20 000 bpd x government x contractor 
next 20 000 bpd x government x contractor 
next 20 000 bpd x government x contractor 
any volume over the first 100 000 bpd x government x contractor 
average natural gas production from a development area 
first 50 000 million cubic foot per day x government x contractor 
next 50 000 million cubic foot per day x government x contractor 
next 50 000 million cubic foot per day x government x contractor 
next 50 000 million cubic foot per day x government x contractor 
any volume over the first 200 000 million cubic foot per day x government x contractor "
14298,ocds-591adf-9402339008,Stabilization,other,this contract is executed between the parties in accordance with the laws and regulations in force at the date of its signing and on the basis of the provisions of said laws and regulations as regards the economic fiscal and financial provisions of this contract consequently should new laws or regulations modify the provisions of the laws and regulations in force at the date of signing of this contract and should those modifications bring about a material change in the respective economic situation of the parties resulting from the original provisions of said contract the parties shall in good faith enter into an agreement with a view to modifying those provisions in order to restore the economic balance of the contract as intended at the signing thereof 
14376,ocds-591adf-9499174502,Royalties,other,in each calendar year timor sea designated authority shall take 5 of every grade and quality of petroleum as and when it is delivered at the field export point 
14446,ocds-591adf-9552222925,Royalties,other,tullow uganda shall pay to the government royalties based on gross total daily production of crude oil either in cash or in kind depending on the government s preference tullow uganda shall pay according to the following schedule i where the production does not exceed 2 500 barrels 5 ii where production is higher than 2500 but does not exceed 5000 barrels 7 5 iii where the production is higher than 5 000 but does not exceed 7500 barrels 10 iv where the production exceeds 7 500 barrels 12 5 tullow uganda shall pay to the government additional royalties based on similar schedules when cumulative recovered oils and total gas sales reached certain thresholds 
14622,ocds-591adf-9736395382,Stabilization,other,mip shall be entitled to the protection provided by all applicable provisions of the laws of afghanistan including with respect to expropriation nationalization deprivation and confiscation of any assets
14632,ocds-591adf-9736395382,Royalties,other,as for mined raw materials utilized in the production of cement mip shall pay 2 00 usd per ton of cement manufactured for the extraction of coal mip shall pay the amount of 20 11 usd per ton of coal extracted 
14695,ocds-591adf-9771948110,Royalties,other,royalties due to the ministry shall correspond to 26 of the gross revenue from sale of gold at a price set on the date of sale by the london metals exchange for each sale of gold to be paid on a monthly basis
14938,ocds-591adf-9949039362,Stabilization,other,notwithstanding liberian income tax law of general application the income tax rate is 30 
15039,ocds-591adf-0056442275,Stabilization,other,"prior to processing or exporting any portion of a tree euro liberia logging company must pay log stumpage fees to the government in the amounts and at the times established by part ii of authority regulation 107 07 
"
15164,ocds-591adf-0122591393,Royalties,other,liberia forest products shall pay a 2 turnover tax during the 7 year rehabilitation term of the contract this payment is to be applied against future tax obligations after this period the laws of liberia of general application will apply 
15179,ocds-591adf-0122591393,Stabilization,other,in the event of a conflict between this contract or the rights obligations and duties of a party to this contract and any law of liberia or international law the terms of this contract shall prevail 
15248,ocds-591adf-0284979046,Royalties,other,before any logs are processed or exported liberia tree trading company must pay stumpage fees to the government in accordance with authority regulation 107 07 
15286,ocds-591adf-0315234670,Royalties,other,stumpage fees alpha logging processing shall pay log stumpage fees to the government in the amounts and at the times established by part ii of forestry development authority regulation 107 07 the parties will use the methods set out in sections 26 and 27 of forestry development authority regulation 108 07 establishing a chain of custody system to determine volumes and grades alpha logging processing shall prevent logs from being processed or exported before alpha logging processinghas paid the log stumpage fees 
15841,ocds-591adf-0966186576,Royalties,other,firestone liberia shall be liable to pay turnover tax quarterly which amount shall not exceed 2 of its gross income the turnover tax reduces to 1 during the first calendar year after 1 firestone liberia has a negative taxable income and 2 the cumulative total un credited turnover tax paid up until that date exceeds us 4 million 
15855,ocds-591adf-0966186576,Stabilization,other,in the event of a conflict between the terms of this contract and any liberian law other than the constitution of liberia as at the date of the amended contract the terms of this contract will prevail 
16341,ocds-591adf-2177412417,Royalties,other,stumpage fees akewa group of companies shall pay log stumpage fees to the government in the amounts and at the times established by part ii of forestry development authority regulation 107 07 the parties will use the methods set out in sections 26 and 27 of forestry development authority regulation 108 07 establishing a chain of custody system to determine volumes and grades akewa group of companies shall prevent logs from being processed or exported before it has paid the log stumpage fees akewa group of companies must pay forest product fees to the government in the amounts and at the times established by part iv of forestry development authority regulation 107 07 
16371,ocds-591adf-2248245813,Stabilization,other,all non local employees and workers are exempted from any federation taxes or state taxes or any fees or taxes that are newly issued the sudanese investment incentive law is applicable in all its content unless otherwise indicated in a special text in this agreement the government of republic of sudan has the role of protector according to the ongoing arrangements at the present time and to the new arrangements taking place in the future this is applicable to all kinds of investments that are included in this agreement during the present and at future time 
16377,ocds-591adf-2248245813,Stabilization,other,all non local employees and workers are exempted from any federation taxes or state taxes or any fees or taxes that are newly issued the sudanese investment incentive law is applicable in all its content unless otherwise indicated in a special text in this agreement the government of republic of sudan has the role of protector according to the ongoing arrangements at the present time and to the new arrangements taking place in the future this is applicable to all kinds of investments that are included in this agreement during the present and at future time 
17176,ocds-591adf-3371037354,Stabilization,other,in the event of a conflict between this contract and any law of liberia enacted after the contract came into force except the constitution of liberia the rights duties and obligations of sime darby plantation and the liberian government are the ones listed in the contract 
18152,ocds-591adf-5399370669,Royalties,other,golden veroleum will not be subject to the resource rent tax during the term of the contract 
18198,ocds-591adf-5446807513,Royalties,other,before clearing the land for the development activities koh kong sugar industry company shall obtain approval from the ministry of agriculture forestry and fisheries for the logging processing or transporting of trees found on the lands and pay royalties and premiums to the ministry in accordance with the principles and forestry law in force
18516,ocds-591adf-6230864133,Stabilization,other,growest building trading shall be obliged to pay taxes to the state in accordance with the law in force in the kingdom of cambodia 
18543,ocds-591adf-6230864133,Royalties,other,before clearing the land for the development activities growest building trading shall obtain approval from the government for the logging processing or transporting of logs found on the lands and these logs obtained from land clearance shall be subject to procurement procedure and royalty and fee payment in accordance with the principles and forestry law in force 
18628,ocds-591adf-6459881214,Royalties,other,libinc oil palm inc will pay a 2 turnover tax during the 7 year rehabilitation period to be applied against future tax obligations 
18641,ocds-591adf-6459881214,Stabilization,other,in the event of a conflict between this contract and any law of liberia enacted after the contract came into force except the constitution of liberia the rights duties and obligations of libinc oil palm inc and the liberian government are the ones listed in the contract to the extent that there is inconsistency between the tax corpus and this contract this contract shall govern all matters governed by the tax corpus and not referred to in the contract shall be governed by the tax corpus 
19013,ocds-591adf-7041399452,Royalties,other,any profits generated by nile trading development in respect of the leased land are to be divided as follows initially and through 2012 60 to nile trading development and 40 to the mukaya payam cooperative from 2013 2017 58 to nile trading development and 42 to the mukaya payam cooperative from 2018 2022 56 to nile trading development and 44 to the mukaya payam cooperative from 2023 2027 54 to nile trading development and 46 to the mukaya payam cooperative from 2028 2032 52 to nile trading development and 48 to the mukaya payam cooperative and from 2033 through the remainder of the term of the contract 50 to nile trading development and 50 to the mukaya payam cooperative
19323,ocds-591adf-7484523034,Royalties,other,before clearing the land for the development activities global agricultural development cambodia shall obtain approval from the ministry of agriculture forestry and fisheries for the logging processing or transporting of trees found on the lands and pay royalties and premiums to the ministry of agriculture forestry and fisheries in accordance with the principles and forestry law in force
19699,ocds-591adf-8151999288,Royalties,other,ej j investment corporation must pay log stumpage fees to the government in accordance with forestry development authority regulation 107 07 before any logs have been processed or exported 
20022,ocds-591adf-8891537745,Stabilization,other,in the event of a conflict between the terms of this contract and any liberian law other than the constitution of liberia as at the time the contract came into force the terms of this contract will prevail however ada commercial is subject to the laws of liberia including with respect to labor environmental health and safety customs and tax matters 
20088,ocds-591adf-8938032019,Royalties,other,b v timber company shall pay log stumpage fees to the government in the amounts and at the times established by part ii of forestry development authority regulation 107 07 and shall pay log stumpage fees before exporting or processing the logs in addition log stumpage fees shall be paid for timber cut through mistake timber damaged without negligence timber unnecessarily damaged or negligently or willfully cut in addition to other penalties and merchantable logs damaged by careless felling or extraction in addition to log export fee and any penalties 
20124,ocds-591adf-9001881130,Royalties,other,b v timber company shall pay log stumpage fees to the government in the amounts and at the times established by part ii of forestry development authority regulation 107 07 and shall pay log stumpage fees before exporting or processing the logs in addition log stumpage fees shall be paid for timber cut through mistake timber damaged without negligence timber unnecessarily damaged or negligently or willfully cut in addition to other penalties and merchantable logs damaged by careless felling or extraction in addition to log export fee and any penalties 
