,OCID,Category,Predicted,kjc9 Notes,kjc9 Comment,CleanText
8795,ocds-591adf-1790554736,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,"available petroleum shall be measured at the measurement point and allocated as described in this contract available petroleum shall be allocated between the government of albania the royalty tax albpetrol the albpetrol share bankers petroleum ecc share and cost recovery petroleum as described below 
period r factor royalty albpetrol ecc cost recovery
 tax share share petroleum
 
numericvalue 
numericvalue r numericvalue 10 1 x 100 10 1 x 
termin 
ation 
of the 
petroleum 
 
 "
8871,ocds-591adf-1800799116,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,the crude oil remaining after deducting royalty and cost oil from the total crude oil produced and saved from the agreement area and not used in petroleum operations shall be taken and disposed of separately by the government and canmex for and on its own behalf and on behalf of range resources as specified 
8986,ocds-591adf-1717538716,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,"in each calendar year minza oil gas limited shall take and receive the following shares of every grade and quality of petroleum as and when it is delivered at the field export point 95 but not more than is equal in value to recoverable costs for the calendar year concerned 
"
8987,ocds-591adf-1717538716,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,any petroleum not taken for royalty or as recoverable cost oil shall be shared as 40 by the timor sea designated authority and 60 by minza oil gas limited 
9069,ocds-591adf-2078279301,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,"all exploration development production and operating expenditures as defined in annex c incurred by the company shall be recovered from 50 of gross oil production after deduction of the royalty cost recovery in respect of gas production will be negotiated upon the discovery of gas for the purpose of cost recovery ring fencing shall apply 
the company shall carry forward to subsequent years all unrecovered costs until full recovery is completed "
9186,ocds-591adf-1878297445,State participation,royalties,,,the afghan ministry of mines is entitled to receive 15 of the fields liquid hydrocarbons production as royalties a
9189,ocds-591adf-1878297445,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,," after deduction of royalties and the recovery of cost oil by the contractor the ministry shall be allocated a portion of the hydrocarbons produced and saved in any month as follows if cumulative gross contractor revenues divided by cumulative hydrocarbons operations expenditures incurred up to the immediately preceding month are 
 less than or equal to numericvalue the ministry is entitled to 0 of profit oil 
 greater than numericvalue but less than or equal to numericvalue 3 the ministry is entitled to numericvalue of profit oil 
 greater than numericvalue 3 but less than or equal to numericvalue the ministry is entitled to a sliding scale of between numericvalue and 70 of profit oil 
 greater than numericvalue the ministry is entitled to 70 of profit oil 
these calculations shall be made separately in respect of the designated fields kashkari angot aq darya bazarkhami zamarudsay and the rest of the contract area "
9424,ocds-591adf-2840001526,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,"following the deduction of royalty and costs and expenses from cost recovery petroleum the remaining petroleum in any quarter including any portion of cost recovery petroleum not required for recovery of cost and expenses also called profit oil or profit natural gas should be allocated between the parties in each quarter in the following proportions for each and every development area 
the profit oil should be shared as follows 
until the cumulative available crude oil after deduction of the royalty from any 
development area reaches fifty million barrels the government share of the available crude oil from that development area is 60 and dno asa s share is 40 thereafter until the cumulative available crude oil reaches three hundred million barrels the government share is 70 and dno asa s share is 30 until the cumulative available crude oil after deduction of the royalty reaches one billion barrel the government share is 80 and dno asa s share is 20 and 
until when cumulative available crude oil exceeding one billion barrels the government share is 85 and dno asa s share is 15 any available natural gas whether associated or non associated dno asa intends to produce and sell should be allocated between the parties in each quarter with 50 for the government and 50 for the dno asa 
"
9493,ocds-591adf-2939708932,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at no less than 1 of the value of the gross output of minerals sold sec 11 1 j 1
9498,ocds-591adf-2939708932,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
9542,ocds-591adf-3034053463,Audit mechanisms - financial obligations,royalties,,,the government may instruct an independent firm of accountants to assess lossese between december numericvalue numericvalue and december numericvalue 1999 obligation to report to the government any chance in the market and how it affects the company long term contract price of the relevant commodities within numericvalue days entering into the contract obligation for the company s auditors to report on a quarterly basis on the fact that sales have been arm s length transactions all sales have been made under long term contracts besides those on the spot market all royalties have been correctly calculated and paid
9733,ocds-591adf-3034053463,State participation,royalties,,,the option previously reserved in a former agreement for the government to acquire 47 of the shares of the company is released in favor of the company in consideration of a payment of a royalty of 10 000 000 
9752,ocds-591adf-2593066531,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
9755,ocds-591adf-2593066531,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not less than 1 of the value of the gross output of minerals sold sec 11 1 j 1
9887,ocds-591adf-2547744131,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,"after deduction of the royalty and recovery of the hydrocarbons operations expenditures the government shall be allocated a portion of the net hydrocarbons produced and saved in any month determined in accordance with the formula set forth below and the remaining net hydrocarbons after such allocation shall be allocated to cnpci watan oil and gas afghanistan ltd 
if r 1 then p 0 
if 1 r 1 3 then p 50 
if 1 3 r 2 5 then p 70 2 5 r 2 5 1 3 x 20 
if r 2 5 then p 70 
in the above formula 
 p shall mean the government s percentage share of net hydrocarbons valued at the applicable formula price and 
 r shall mean the cumulative gross contractor revenues up to the end of the month immediately preceding the month in question divided by the cumulative hydrocarbons operations expenditures incurred up to the end of the month immediately preceding the month in question "
9957,ocds-591adf-2590553572,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,upon initial commercial production dno ansan and tg shall receive 100 of the crude oil allocated to recover costs expenses and expenditures paid by them in conducting petroleum operations cost oil dno ansan tg and tyg can recover all costs expenses and expenditures incurred for all petroleum operations to the extent of a maximum of 50 per quarter of all the crude oil produced and saved and not used in petroleum operations and after royalty payments to the state the non recoverable expenses are set out in art numericvalue
9958,ocds-591adf-2590553572,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,the crude oil remaining after deducting royalty and cost oil shall be disposed of in accordance with the sample calculation in annex g and as follows for the first numericvalue barrels of monthly average daily net production 64 to the ministry and 36 to dno ansan tg and tyg for the portion exceeding numericvalue up to numericvalue barrels 67 to the ministry and 33 to the companies for the portion exceeding numericvalue up to numericvalue barrels 70 to the ministry and 30 to the companies for the portion exceeding numericvalue up to numericvalue barrels 75 to the ministry and 25 to the companies and for anything over numericvalue barrels 82 to the ministry and 18 to the companies of the relevant portion going to dno ansan tg and tyg tyg shall receive 10 of production sharing oil and dno ansan and tg shall receive the remaining 90 
9982,ocds-591adf-2561344209,Other - financial/fiscal,royalties,,,"eni east africa s p a eni and empresa nacional de hidrocarbonetos e p empresa shall pay a petroleum production tax of 5 of the natural gas and 8 of the crude oil produced onshore for offshore deposits at a depth of less than numericvalue meters eni and empresa shall pay a quantity of 4 of natural gas and 7 of the crude oil for offshore deposits at a depth of greater than numericvalue meters and less than numericvalue meters eni and empresa shall pay a quantity of 3 of natural gas and 5 of the crude oil for offshore deposits at a depth of greater than numericvalue meters eni and empresa shall pay a quantity of 2 of natural gas and 3 of the crude oil 
eni and empresa shall pay us numericvalue to the government this amount shall be used as institutional support to the entities involved in promotion and administration of petroleum operations "
10106,ocds-591adf-2740538018,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,dwm petroleum ag may recover 40 of contract crude for cost recovery after the deduction of royalty petroleum costs shall be recovered in stages first exploration costs then operation costs then development costs 
10110,ocds-591adf-2792396017,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,"the contractor shall pay the government 60 of the net revenues this is inclusive of the corporate tax excise tax and all other taxes duties fees levies royalties as well as tax on dividend payments to stockholders and tax on interest payments on foreign loans extended by the stockholders to the contractor provided that if this inclusion needs a law then such inclusion shall take effect after such law has been passed sec numericvalue
this 60 share is payable after the contractor and its affiliates have recovered their pre operating expenses sec numericvalue"
10234,ocds-591adf-2719937589,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at the rate of 1 of the value of the gross output of minerals sold sec 11 1 j 1
10235,ocds-591adf-2719937589,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
10307,ocds-591adf-0523462294,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,"profit oil being the balance of available crude oil after deducting royalty oil cost oil and tax oil shall be allocated to each party as follows 
royalty rates shall apply as follows 
 onshore areas 20 00 
 areas up to numericvalue metres water depth 18 50 
 areas from numericvalue to numericvalue metres water depth numericvalue 
 areas from numericvalue to numericvalue metres water depth 12 00 
 areas from numericvalue to numericvalue metres water depth 8 00 
 areas from numericvalue to numericvalue0 metres water depth 8 00 
 areas in water depth higher than numericvalue0 meters 8 00 
 inland basins 10 00 "
10475,ocds-591adf-0431745646,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not less than 1 of the value of the gross output of minerals sold sec 11 1 j 1
10477,ocds-591adf-0431745646,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
10514,ocds-591adf-0640514048,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,"the government share shall be the excise tax on the mineral products extracted at the rates prescribed in ra numericvalue plus other taxes duties and fees prescribed by other laws in addition to royalty payments of 5 of gross output these taxes shall be paid to the nearest bir office in the province where the mine is located in computing the excise tax due the contractor must strictly follow auditing and accounting rules and regulations 
this government share shall be divided as prescribed by the local government code sec numericvalue
"
10521,ocds-591adf-0640514048,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not less than 1 of the value of the gross output of minerals sold sec 9 1 j 1
10525,ocds-591adf-0640514048,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 9 1 j 3
10694,ocds-591adf-0617728514,Cancellation or termination,royalties,,,"this contract shall lapse if the lessee fails to pay the foregoing rental royalties taxes and fees after numericvalue days upon demand or numericvalue consecutive years without demand sec numericvalue
this contract shall be cancelled if lessee uses attempts to use or permits the use of the contract area for purposes other than mining or uses it for the benefit directly or indirectly of entities not qualified to acquire a mining lease by themselves sec numericvalue
this contract may be revoked by the government anytime if required for public purposes sec numericvaluenumericvalue
the lessee shall forfeit its rights under this contract if it fails to submit the annual report for numericvalue consecutive years sec numericvalue 
the government may cancel this contract if the lessee fails to comply with its terms as well as the provisions of presidential decree no numericvalue as amended and commonwealth act nos numericvalue and 4numericvalue0 as amended and pertinent rules and regulations sec numericvalue
the lessee may apply for the cancellation of this contract if it becomes impossible to continue profitable mining operations due to force majeure or other causes it shall pay the rental royalties taxes and fees for that year and shall have numericvalue year to remove its property from the premises after numericvalue year all remaining property shall belong to the government sec numericvalue9"
10695,ocds-591adf-0617728514,Other - financial/fiscal,royalties,,,"the lessee shall pay annual rental fees and royalties as provided in the tax code sec numericvalue
the lessee shall pay real estate tax on the buildings and improvements built on the land leased it shall also pay rentals royalties and taxes as required by law sec numericvalue numericvalue"
10697,ocds-591adf-0617728514,Hardship clause or force majeure,royalties,,,"the lessee waived its right to ask for grace period in paying rentals and royalties as well as reduction in rent in case of hardship due to unforeseen fortuitous events sec numericvalue
the lessee may withdraw from this contract due to hardship on account of force majeure or other causes sec numericvalue"
10781,ocds-591adf-0056582197,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at no less than 1 of the value of the gross output of minerals sold sec 11 1 j 1
10782,ocds-591adf-0056582197,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
11041,ocds-591adf-0274601496,Income tax: rate,royalties,,,geovic shall pay an ad valorem tax on the basis of the market value of the minerals in accordance with the finance law and the mining code ad valorem tax shall mean the tax levied in proportion to the value of saleable products extracted 
11183,ocds-591adf-0240741237,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,all exploration development production and operating costs defined in annex c incurred by the licensee can be recovered from 60 for gross oil production and 70 for gas after deduction of the royalty the licensee can carry forward to subsequent years all unrecovered costs until they have been fully recovered lists of costs recoverable without further approval from the government costs not recoverable under the agreement and other costs and expenses are described in arts numericvalue numericvalue and numericvalue of annex c respectively 
11380,ocds-591adf-1333562032,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,"the government share shall be the excise tax on the mineral products extracted at the rates prescribed in ra numericvalue plus other taxes duties and fees prescribed by other laws in addition to the royalty of not less than 5 of the gross output from the surigao mineral reservation these taxes shall be paid to the nearest bir office in the province where the mine is located in computing the excise tax due the contractor must strictly follow auditing and accounting rules and regulations 
this government share shall be divided as prescribed by the local government code sec numericvalue
"
11387,ocds-591adf-1333562032,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at the rate of 1 of the value of the gross output of minerals sold sec 11 1 j 1
11389,ocds-591adf-1333562032,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
11401,ocds-591adf-1314860465,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at the rate of 1 of the value of the gross output of minerals sold sec 11 1 j 1
11405,ocds-591adf-1314860465,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
11559,ocds-591adf-1658238869,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 9 1 j 3
11561,ocds-591adf-1658238869,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at no less than 1 of the value of the gross output of minerals sold sec 9 1 j 1
11666,ocds-591adf-1531285830,State participation,royalties,,,in all cases of extension of the exploitation period in an exploitation area the company will recognize and pay the government as a production participation a sum equivalent of 10 of the production of light liquid hydrocarbons and the delivery point or 5 of non associated natural gas or heavy liquid hydrocarbons obtained by the company as of the expiry date of the initial duration of the exploitation period valued at the delivery point after deducting the royalty percentage 
11734,ocds-591adf-0857214071,Income tax: exemptions,royalties,,,"for the duration of the agreement no taxes royalties duties excise charges levies fees dues contribution payments or imposition of any kind payable to the central regional or local governments authorities or agents or to any chiefdom or tribal authority or any other agency of the lessor will apply to the lessee or any affiliate company or agent of the employees of the lessee or any affiliate company of the lessee other than 
 annual rent and surface rent 
 income tax 
 royalties 
 withholding taxes 
 charges on imports 
 import inspection fees 
 community development fund contributions 
 profit sharing 
except as provided by the agreement no tax royalty duty excise levy fee due contribution payment or imposition of any kind will be payable by the lessee its employees or shareholders or any of its affiliates where the effect of such tax is confined wholly to the lessee or its employees shareholders or affiliates or agents 
no officer salaried consultant or employee of the lessee or of its affiliates agents or contractors specifically engaged in the mining operations who is not a citizen of sierra leone will be subject to the payment of any direct or personal taxes in excess of those paid by permanent residents of sierra leone "
11740,ocds-591adf-0857214071,Other - financial/fiscal,royalties,,,"see schedule 7 
the kono community s three participants are entitled to a profit share 
 kono district council 3 
 koidu new sembehun town council 2 
 tankoro chiefdom 5 
subject to prior repayment of all shareholders claims the lessee agrees to pay each of the lessor and the kc trust formed constituted and registered for the benefit of the kono community a sum equal to 10 of the profit generated during such fiscal year "
11890,ocds-591adf-0742047974,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at the rate of 1 of the value of the gross output of minerals sold sec 11 1 j 1
11891,ocds-591adf-0742047974,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
11929,ocds-591adf-0806975065,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,lion petroleum shall recover a maximum of 55 of all crude oil produced and saved from the contract area during that fiscal year to recover petroleum costs 
11961,ocds-591adf-0781051765,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not less than 1 of the value of the gross output of minerals sold sec 8 1 j 1
11962,ocds-591adf-0781051765,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 8 1 j 3
11980,ocds-591adf-1195181754,Bonuses,royalties,,,dwm will pay a one time signature bonus of us 100 000 and a us 100 000 bonus at the start of production dwm will pay us 500 000 bonus when average daily crude oil production over a numericvalue day period reaches numericvalue bpd an us 1 million when that average reaches numericvalue bpd 
12043,ocds-591adf-1265870384,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at the rate of 1 of the value of the gross output of minerals sold sec 11 1 j 1
12047,ocds-591adf-1265870384,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 j 3
12363,ocds-591adf-5325704581,Other - financial/fiscal,royalties,,,"repsol ypf oriente medio repsol ypf shall promptly provide to the government such technological and logistical assistance to the kurdistan region petroleum sector as the minister of natural resources may request up to the value of us numericvalue million including geological computing hardware and software and such other equipment repsol ypf and the government shall agree the form of such assistance 
in the event of the establishment of a fund for revenue sharing between the federal government of iraq and other regions and upon receipt of instructions from the government the repsol ypf shall pay into such fund 
 a any royalty payable in cash due to the government 
 b proceeds from the sale of any crude oil undertaken by a contractor entity on behalf of the government pursuant to the contract and 
 c all production bonuses "
12458,ocds-591adf-5358845209,Income tax: exemptions,royalties,,,"the contractor will be exempted of all other taxes rights royalties duties imposts and contributions not defined in the contract in connection with the petroleum operations the contractor s suppliers subcontractors service contractors and affiliated companies are exempted from the domestic turnover tax and the tax on transactions due on sales made work performed and services rendered within the framework of the contract the profit earned by the contracting companies within the framework of the petroleum operations is exempt from any tax and withholding at the source due in connection to distribution to stockholders or partners or allocation thereof 
when by mistake one of the companies has been assessed with taxes duties imposts withholding or royalties from which it is exempted it may charge the amount to the petroleum costs if it is not released from the payment obligation one year after filing a claim the charge is subject to written prior approval form the minister of hydrocarbons 
the exemptions are not applicable to duties and taxes due for services rendered by gabonese administrations communities and public institutions used by the contractor the rates applied must correspond to the magnitude of the services rendered and be non discriminatory the contractor will still be subject to local municipal and port charges in effect under non discriminatory rates 
assignments between the contracting companies and their affiliates are exempted from all duties and taxes due in this connection "
12930,ocds-591adf-4815087699,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,cost oil will be composed of operating development and explortion expenditures on a quarterly basis operating expenditures is the amount of crude oil from the commercial field after royalty tax to which kosmos is entitled for operating expenses development expenditures is the amount of crude oil from the commercial field after royalty tax and operating expenditures to which kosmos is entitled for development expenses exploration expenditures is the amount of crude oil from the commercial field after royalty tax operating expenditures and development expenditures to which kosmos is entitled for exploration expenses the cost oil ceiling on oil distributed according to operating development and exploration expenditures is 80 of gross production after royalties are paid unrecovered operating development and exploration expenditures that cannot be reimbursed as from cost oil will be carried forward for recovery in subsequent quarters until full recovery 
12954,ocds-591adf-4772500162,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,"the balance of crude oil remaining in any calendar year after deduction of the royalty payments under this contract and after recoverable petroleum operations costs have been satisfied and shall be shared taken and disposed of between the government and the company as follows 
increments government s share company s share
first numericvalue barrels day x x 
next numericvalue barrels day x x 
next numericvalue barrels day x x 
next numericvalue barrels day x x 
any volume over first numericvalue barrels day x x 
"
13058,ocds-591adf-5301138756,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,,,any petroleum not taken for royalties or recoverable cost petroleum shall be shared as to 40 by timor sea designated authority and as to 60 by eni jpda 11 106 b v inpex offshore timor leste ltd timor gap psc 11 106 and unipessoal limitada collectively
13164,ocds-591adf-5024464049,Custom duties,royalties,,,"bea mountain mining corporation shall
shall pay to the government 
 i import duty and excise tax on gasoline 
 ii 10 of the import duty and excise tax on consumables other than fuels and oils 
 iii the inspection fee to a maximum of 1 5 of the import invoice 
 iv customs users fee of 2 5 of the value of imports "
13187,ocds-591adf-4966736928,"Sacred, cultural, or historical sites",royalties,,,the contractor shall recognize and respect the rights customs and traditions of indigenous tribal communities over their ancestral lands and shall pay royalties at no less than 1 of the value of the gross output of minerals sold sec 11 1 i 1
13188,ocds-591adf-4966736928,Financial obligations - community or commodity funds,royalties,,,the contractor shall allot annually at least 1 of the direct mining and milling costs for the development of the host and neighboring communities these expenses may be charged against its required royalty payments if the host happens to be an indigenous cultural community sec 11 1 i 3
13191,ocds-591adf-4966736928,Local development agreement,royalties,,,the contractor is required to recognize and respect the rights of indigenous tribal communities over their lands and to pay a royalty of not less than 1 of the value of the gross output contractor is also required to assist the relevant authorities in developing the mining community as well as the host and neighbouring communities the contractor must allot at least 1 of the direct mining and milling costs to implement the development of the host and neighbouring communities on an annual basis but these expenses may be charged against the 1 royalty payment to indigenous people contractor must also prefer the hiring of local filipino citizens for mining operations and must institute a training program if such expertise are not currently available 
13218,ocds-591adf-6387856838,Other - financial/fiscal,royalties,,,concessionaire shall make the following payments to the government in addition to royalties and the up front payment i surface rent in the amount of us numericvalue0 00 per year for the first numericvalue years and us 2numericvalue per years for the next numericvalue years ii inspection fees on all imports and exports iii regulatory fees in connection with the granting by the government of licenses or permits iv one time payment of us numericvalue for the mineral development fund v annual contribution of us numericvalue0 000 for the scientific research fund 
13223,ocds-591adf-6387856838,Confidentiality,royalties,,,for a 3 year period counted as from disclosure all information designated confidential by the parties can not be divulge without the prior consent of the other party confidential information does not include information that was publicly available before disclosure that subsequently becomes publicly known otherwise becomes know to a party other than through disclosure constitutes financial statements submitted to the government is scientific rather than commercial such as geological information related to an area non exploited by the concessionaire has been disclosed pursuant to generally applicable law or any court order the agreement and its amendments thereto however are not confidential no confidentiality related to timing and amount of royalties and other payments due under the terms of the agreement 
13284,ocds-591adf-6429175624,Income tax: rate,royalties,,,konkola copper mines should pay the government of zambia income tax as per this contract and the income tax act chapter numericvalue of the laws of zambia the income tax rate is fixed at numericvalue losses are permitted to be carried forward for a period of numericvalue years from the date on which the loss was incurred losses should be used on a first in first out basis with earlier losses used before later losses konkola copper mines should maintain books of account and render income tax return and returns in respect of royalties and customs and excise duties stated in us in accordance with generally accepted accounting principles in the calculation of konkola copper mines s liability for income tax it can deduct any copper price participation payments and any cobalt price participation payments made pursuant to the copper price participation and the cobalt price participation agreements 
13286,ocds-591adf-6429175624,Withholding tax,royalties,,,konkola copper mines should pay withholding tax on dividends royalties and management fees to shareholders or affiliates at a rate of 0 and on interest payments to shareholders or their affiliates or any money lender at a rate of 0 
13287,ocds-591adf-6429175624,Income tax: exemptions,royalties,,,the aggregate of the value of customs and excise duty and royalty payable by konkola copper mines if exempt from taxes up to an extent of numericvalue million usd in the first year following completion and us numericvalue million per annum for the numericvalue years thereafter 
13312,ocds-591adf-6424799341,Audit mechanisms - financial obligations,royalties,,,"in order to ensure the state can properly discharge its rights to monitor the activities associated with the project it is agreed that the parties will enter into monitoring agreements for blending marketing and treasury 
a least once in every calendar year the royalty is paid the mine project company must engage a reputable international firm of accountants with demonstrated experience in similar projects to conduct an audit of the royalty payments made during the year at the sole cost of the company it must provide the report of the audit to the state in a timely manner "
13496,ocds-591adf-6484217517,Income tax: other,royalties,,,similar to ra numericvalue revised irr section 39 n which states a stipulation that the contractor shall pay fees taxes royalties and other obligations in accordance with existing laws rules and regulations 
13678,ocds-591adf-6476275683,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,,,npdc may recover un depreciated costs associated to capital costs defined in annex c that are incurred before signing the agreement atlantic may recover development and production costs related to i the production of p1 developed reserves ii monthly production of 2p reserves less the p1 developed reserves iii training npdc and national nigeria petroleum corporation personnel and iv the procuring of permits procured by npdc that are necessary to the operations the method for calculating the amount chargeable to and recoverable from royalty oil and gas cost oil and gas and tax oil and gas is described in art iv 5 of annex c any unrecovered costs will be carried forward to subsequent months using the method described in art iv 6 of annex c 
13710,ocds-591adf-6207349867,Confidentiality,royalties,,,"this agreement is not confidential and the company is not generally entitled to confidential treatment of information the government or the company may and the government expects to make public information relating to the timing and amount of royalties and other payments specifically due or paid under the contract or of taxes and duties payable or paid or the rates at which royalties taxes and duties or other payments become due or are assessed 
for a period of numericvalue years from disclosure each party agrees not to divulge information designated in writing by the other party at the time of delivery as confidential information or which relates to the company s products operations processes plans or intentions product information know how design rights trade secrets market opportunities and business and financial affairs to any other person without prior written consent from the other party designating information will be understood as representing that release of the information to third parties will materially adversely affect the party or its economic well being 
confidential information does not include information that 
 was publicly available or known to a party before disclosure to it and not subject to a confidentiality obligation 
 becomes publicly known through no act or omission by a party 
 constitutes financial statements delivered to the government that are otherwise publicly available 
 is of scientific rather than commercial value 
 has been disclosed under law or a final order of any court having jurisdiction that is not subject to appeal 
each party will maintain the confidentiality of confidential information consistently with the protection of its own confidential information provided the party may deliver or disclose it to 
 its affiliates and its affiliates financial legal and other professional advisors if the disclosure is reasonably related to the administration of the contract 
 any other person to which such delivery or disclosure may be necessary or appropriate under law in response to any legal process or in connection with any litigation if necessary to protect the party s position in such litigation or if an event of default has occurred and is continuing if disclosure is necessary and appropriate in the enforcement or for the protection of the rights and remedies under the contract "
13736,ocds-591adf-5982022106,Income tax: other,royalties,,,"the carry forward of losses shall be permitted for a period of numericvalue years from the date the loss was incurred 
for the stability period royalties shall be deductible against liability for income tax "
13737,ocds-591adf-5982022106,Income tax: rate,royalties,,,the income tax rate shall be 35 however if chibuluma mines plc obtains a listing on the lusaka stock exchange the rate shall be 30 from the year of listing 
