,OCID,Category,Predicted,CleanText,TextLength
2767,ocds-591adf-6872304960,State participation,royalties,entityorg is entitled to a government allocation of productioentityorgfactor is entitypercentor less than numericvalue then entitypeentityorgentitypercention is percentvalue akbn gets percentvalue if the r factor entitypeentitycardentityorgentitypercentan numericvalue and equal to or lentitycardinal than numericvalue akbn gets percentvalue if the r factor is greater than numericvalue,386
2769,ocds-591adf-6872304960,Income tax: rate,stabilization,entityorg will pay a profit tentitypercent50 on its share of profit petroleum this rate is fixed for the life of the contract in the unlikely event that the profit tax is increased in spite entitynorping albanian law the profit sharing percentage will be automaticallyentityorgdified so that dwm receives the same share of profit petroleum as if the profit tax rate had not changed,381
2829,ocds-591adf-8372045258,Other - financial/fiscal,royalties,the company shall receive entitydate and for each exploitation title an income before corporation taxes and proportional tax equentitypercent31 of the mining rent from the exploitation title concerned in case the proportional royalty rate should not make it possible to fulfill these conditions the amount of the royalty shall be adjusted so that the company will receive the net income provided for above if it is not possible to fulfill the above conditions and barring agreement of the parties when the time comes on any other arrangement leading to the same result the state shall assign to the company in thentitydate of the year concerned liquid hydrocarbons in quantities and under assignment conditions such that the company will actually receive the net income specified above for each exploitation title the rights to the liquid hydrocarbon production shall vary with the cumulative total production of the exploitation title concerned and are defined asentitycardinalollows up entitypercent5 mt staentitypercenentitycardinentitycardinalare percentvalue comentitypercent share 40entitypercentoentitycardinal15 to numericvalue mt entitypercentte share entitypercentcompany share percentvalue beyond numericvalue mt state share percentvalue company share percentvalue the state shall be entitled to reserentitypercentut of its rights to the production a volume representing not more than percentvalue of the total production the company shall be free to dispose of its rights to the production and of any part of the right of the stentitygpeh may be assigned to it subject to its obligaentitentitydaten and subject to the regulations enacted entitygpee of article numericvalue of law 64 lf 3 of april numericvalue numericvalue the company is bound to supply the needs of cameroon at the export price to the extent that the state s right to the production should not be sufficient this commitment shall not obligate the company to supply a proportion of its rights to the production of a given exploitation title that is gentitygpehan the proportion of the total production of same out of the title out of the total production of cameroon the company shall have a preferententitygpet of purchase at the international price of the state s right to the productioentitycardinals of the needs of centitycardinalncluding the volume mentioned above this right must be exercised for periods of at least numericvalue consecutive months with at least numericvalue months notice prior to the start of the period concerned the international price applicable shall be established by agreement of the parties not later than the deadline for exercise of the right the state and the company shall define in due time prior to the start of exploitation of an exploitation title the procedures for organizing the taking of delivery of production and establishment of the quantities available for each of them ,2898
2836,ocds-591adf-8383008052,Audit mechanisms - financial obligations,stabilization,l operateur devra tenir la comptabilit des travaux p troliers pr parer et soumettre annuellement au entitygpe les comptes conform ment aux dispositions de la proc dure omptable,176
2871,ocds-591adf-8449657549,Type of contract,stabilization,contrat type d amodiation utilis par la soci t entityorg il suffit de modifier la contrepartie et quelques informations tels que la nature des gisements pour obtenir un contrat d amodiation ou allocation d un terrain de l espace public l usage d une entreprise priv e ,268
2986,ocds-591adf-8293745677,Income tax: rate,stabilization,entitypercent calculated in accordanceentityoentitydate law of numericvalue or at such lower rate as may be applicable entityorgeum entitygpe law in case contractor elects to be taxed under such new tax regime ,210
2989,ocds-591adf-8293745677,Other - operational,royalties,in case the shares of crude oil which the entityorentityorgd gnpc are entitled to receive are not sufficient to fulfil the domestic supply rentityorg contractor will be obliged along with other parties produentitygpecrude oil in ghana to supply a volume of crude oil to be used to meet the internal consumption demand entityorghowever that contractor s obligation to supply crude oil wientityorgeed the totality of contractor s entitlement of gross production of crude oilentityorger payment of royalties of the state any contract of supply to which the contractor is a party must entityorgde sentityorentitydatent the entityorg pay the market priceentityorg the month of delivery contractor must regularly provide to gnpc information and data relating to worldwide petroleum entityorgnce and technology petroleum economics and engineering and assist gnpc personnel to acquire knowledge and skills relating to the petroleum industry ,933
3017,ocds-591adf-8287357455,Governing law,stabilization,the laws and regulations of entitygpe and the provisions of international law as may be applicable to international oil and gas activities shall appentitypersoniberia to this contract and to the petroleum operations related to this contract ,241
3023,ocds-591adf-8608678728,State participation,royalties,from the allocation of entitentitygpe chad will have the right to require sale ofentitypercentup to percentvalue of the rights and obligations attached to the said license either directly or through a public body intermediary ,226
3044,ocds-591adf-8608678728,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,entityperson will fientityorg costs and will bear all the costs of thentityorgm operations including development operation and abandonentitydatethe start of crude oentitentitypersononal contract zones griffentityorgthe right to recover petroleum cosentitypercentnnually as cost oil cost oil wentityorg net hydrocarbon production less the royalty tax on productionentityorgones resulting entitylocatory contractual zoneentitygpeunrecovered petroleum costs surpassentitydatehe value of the hydrocarbon quantity that can be used in a calendar year the surplus that cannot be recovered will be postponed to the following years until there is full entityorgct expires the vaentitycardinalof cost oil will be determined by the market field entitydate as calentitynorp numericvalue for everentityproductocarbon grade the order of priority for anentityordinaentityordinalvery of petroleum costs is detailed in art numericvalue in each category costs will be recovered on a first in first out basis ,990
3075,ocds-591adf-8615350441,Arbitration and dispute resolution,stabilization,diff rends soumis a la entitentitypersonentitentityentityorgaris france la langue utilise e durant la proce dure sera la langue franc aise et la loi applicable sera la loi mauritanienne ainsi que les re gles et usages du droit international applicables en la matie re ,268
3086,ocds-591adf-8649797663,"Production Share - Cost Oil features  (basis of calculation, limits on cost recovery - e.g. as % of revenue or production, capex uplift, etc.)",royalties,cost oil will be composed of operating development and explortion expenditures on a entitydate basis operating expenditures is the amouentitypersonentityorgercial field after royaentityorgx to which kosmos is entitled for operating expenses development expenditures is the aentityorgrom the commercial field after royalty tax and opeentityorg expenditures to which kosmos is entitled for development expenses exploration expendituentityorg crude oil from the commercial field after royalty tax operating expenditurentityorg development expenditures to whentityorgs entitled for exploration expenses the cost oientityorentitypeentitypersonvelopment and exploraentityorgituresentityorgn after royalties are paid unrecovered opentityorg development and exploration expenditures that cannot be reimbursed as from cost oil will be carried forward for recovery in subsequent quarters until full recovery ,898
3114,ocds-591adf-8615350441,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,la quantit restante apres impots et recouvrement de des co ts p troliers sera partag e entre le gouvernement et entityperson chip si la production totale journaliere de p trole brut ou de gaz est inf rieure ou gaentitycardinal25 000 barrilentitypercentur percentvalue pour entitypeentitywork of artnt et percentvalue pour blue chientityquantityproduction est entreentitypercentet numericvalue barentitypeentitywork of artr percentvalue pour le governement et entitycardinalur blue chip entitypercentroduction estentitypeentitywork of arta numericvalue barrils par jour percentvalue pour le governement et percentvalue pour blue chip le gouvernement peut recevoir sa part en nature ou en espece ,694
3115,ocds-591adf-8615350441,Income tax: rate,royalties,impo t direct de percentvalue entityquantity less be ne fices nets,66
3119,ocds-591adf-8615350441,Surface fees or rent,royalties, entitywork of art versera a la direction de l exploration et du de veloppement des hydrocarbures bruts les redevances superficiaires suivantesentitypersonollars par kilome tre carre et par an durant la pe riode initiale de l autorisation exclusive d entitypeentitywork of artars par kilome tre carre et par an durant la premie re pe riode de renouvellement de l autorisation entitypeentitywork of artnquante dollars par kilome tre carre et par an durant la deuxie me pe riode de renouvellement de l autorisation exclusive d exploration et durant toutentitycardinentitycarentitypersongation pre vue aux articles numericvalue et numericvalue d deux centityquantitye tre carre et par an durant la pe riodentitypersone validite d une autorisation exclusive d exploitation les redevances superficiares ne sont ni recouvrables ni d ductibles fiscalement et ne peuvent donc en aucun cas tre consid r s comme des co ts p troliers ,923
3163,ocds-591adf-8497132181,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties,profit petroleum shall be allocated as follows government entityperceentityorentityorg exploration and entitypercentuction inc percentvalue,139
3211,ocds-591adf-8586283189,"Production Share - ""Profit Oil features (triggers for variations in split - IRR, factor, production, etc .)",royalties, entitywork of art produits deviendront la propri t indivientitygpe entityperson contracteur au passage a la tete des puientityorgion le profit oil production nette moins la part de la redevance miniere et les couts petroliers seentityperceentityperson0 pour la reentitentitypersonpour le contracteur sur la zone de permis si le prix fixe d une ou plusieurs qualientitycardinal s d hydrocarbures liquides est supe rentitypersonar baril la part d hydrocarbures liquides e quivalent en valeur a la diffe rence entre le chiffre d affaires ge ne re par la vente de la prentitypeentitypersonte ou de ces qualite s d hydrocarbures liquides au x pentitycardinalx fixe s et le chiffre d affaires correspondant calcule au prix de numericvalue dollentitypercentpar baril sera parentitygpeeentitypercentre entityorgn de la redevance a raison de 6entityperson la re publique du congo et de numericvalue pour le contracteur dans ce cas la part d hydrocarbures liquidesentitycardinal quivalant au chiffre d affaires pouvant re sulter d une veentitycardinalte de la me me production nette a un prix de numericvalue dollars par baril restera partage e comme stipule aux articles numericvalue et numericvalue,1191
3213,ocds-591adf-8586283189,Income tax: exemptions,stabilization,la part d hydrocarbures entitygpe revenaentityorgue des affectations et des partages dentitylawe numericvalue et numericvalue est nette de tout impo t droit ou taxe de quelque nature que ce soit a l exception de l impo t sur les socie te s et la redevance minie re prentitydate le re gime fiscal et douanier restent applicables au re gime de partage de production a l occasion de toute cession d interets sur l un des permis r alis conformement aux dispositions de la convention d etablissement lentityorgcomposant le contracteur seront exone re es de tout impo t droit ou taxe de quelque nature que ce soit,607
3214,ocds-591adf-8586283189,Social/human rights monitoring,royalties,la part d hydrocarbures entitygpe revenant entityquaentitygpeque du congo a l issue des affectations et des partages de fentitycardinentitypersondessus comprend l impo t sur les sentitypercent s calcule au taux de percentvalue sur les reventityorgque entite composant le contracteur provenant desentitypersonte s re alise es en application du contrat,350
3311,ocds-591adf-7793227103,Name and/or composition of the company created,royalties,entitygpe qui absorbe la soentityorgt dcc et dont l objet social est de r aliser l extraction la transformation et le traitement des min raux et la vente dentitypeentityorgin raentitypercentcamines d tentitentientitypercent du capital social kfl percentvalue gec percentvalue,275
3331,ocds-591adf-7711595368,Capital gains tax,royalties,entityorg shall pay the government an additional profits tentitypercentwithin the timeentityloccome tax act ,108
3379,ocds-591adf-7480993358,Other,stabilization,anti corruption provisions if the contract is reasonably proven to have been obtained in violations of the laws of entitylaw entitygpef iraq concerning corruption this contract shall be deemed void entityorentityorgergy international declare that neither they or any of their affiliates has made offered or authorized with respect to the contract any payment gift promise or other advantage whether directly or through any other person to or for the use or benefit of any public official or any political party or candidate in violatentitylawistan region or of iraq ii the law of the place of incorporation or their principal place of business or iiientityfaces described in the convention on combating brientityoentitycardinaltioentityorgss transactions of numericvalue and the convention s commentaries no part of their participating interest under the contract is held or payable to a public official ,904
3409,ocds-591adf-7619321296,Income tax: exemptions,stabilization,t rex resources is subject to all taxes fees duties excises and other charges imposed by entitynorp laws of general application except as may be otherwise provided by other laws and administrative regulations granting exemptions from custom duties and excise taxes t rex resources may also remove extract and use for exploration purposes any water gravel sand clay stone and timber free of any tax or charge ,408
3446,ocds-591adf-8033884916,Other - financial/fiscal,stabilization,entityperson dispositions fiscales sont applicables aux sous traitants direntitypersonon r s sur les biens et services n cessaires aux op rations mini res au cas ou une telle taxe est pay remboursement conform ment la proc dure en vigueur,238
3453,ocds-591adf-8033884916,Withholding tax,royalties,versement forfaitaire au taux de entitypercent contribution la formation au taux de percentvalue employentitygpeguientityperson hors guin e sauf si la soci t dispose de son propre centre de formaentitygpeermanent en guin e versement forfaitaentitypercentu taux de percentvalue plus percentvalue exon r entitycardinal salari s joentitypersonoins de numericvalue jours par l ann e civile ,386
3454,ocds-591adf-8033884916,Financial obligations - community or commodity funds,royalties,a compter de la date de premi re production commerciale une contribution annuelle au d veloppement local un taux de entitypercent d affaires cette contribution est d ductible pour le calcul du r sultat imposable,211
3455,ocds-591adf-8033884916,Custom duties,royalties,admission temporaire exon ration pour les biens de cat gorie numericvalue quipements mat riels gros outillages engins etc les pi ces d tach es et les lubrifiants l exception de la taxe d enregistrement au taux de percentvalue de la valeur avec un plafond maximum fix par la loi des finances et de la redevance sur la prestation administrative entityorg a la fin des travaux de construction les biens admis temporairement peuvent tre r export s oentitypersons la consommation en cas deentitygpentitypersonn e la soci t et ou ses sous traitants directsentitypersonviennent redeventitycardinalbles les biens de cat gorie numericvalue mati res premi res et consommables n cessaire la transforentitypersonion en produits finis exon rentitycardinals les biens de cat gorie numericvalue et cat gorie numericvalue mati res premi rentitypersont consommables n cessaire l extraction et la valorisation du produit minierentityorgtax s l importation au taux de percentvalue de la valeur foentitypersoninsi qu a la redevance sur la prestation administrative les carburants l exception de l essence lubrifiants eentitycardinal autres produits p troliers import s appartenant la cat gorie numericvalue b n ficient de la structure des prix applicables au secteur minier ,1254
3456,ocds-591adf-8033884916,Income tax: exemptions,royalties,entitycardinal ans d exon ration compter de l exercice suivant la premi re ventitypercent 5 lentitypercente 26entityperson la 7e ann e les effets personnels des employ s l exception des denr es alimentaires et des v hicules priv s sont exon r s dentitygpes droits et taxes aucun droit taxe et ou redevance de douane sur les exportations de produits miniers et ou de biens admis en exon ration ,393
3457,ocds-591adf-8033884916,Audit mechanisms - financial obligations,stabilization,pour chaque exercice fiscal la soci t est tenue de faire certifier par un commissaire aux comptes agr en entitygpe son bilan et ses comptes d exploitation et communiquer ses tats financieentitypersontre au pentitycardinals tard le numericvalue avril de l entitypersonrcice suivant aux fins de v rification et d audit par le personnelentityorgs de l etat la soci t doit donner acc s aux documents comptables ainsi qu aux pi ces justificatives ,442
3459,ocds-591adf-8033884916,Cancellation or termination,stabilization,sous r serve du pr sent alin a et des conditions nonc es au entityorentitypersonnistre peut r silier la convention pour l un des motifs suivants la r vocation de la concession mini re et le manquement l une des dispositions pr entityorga convention entitycardinalis pr alable de numericvalue jours si la soci t ne mainentitypersonrentitycardinalde produit minier entitycardinal e numericvalue tonnes par jour pendant 3entitycardinalois cons cutifs pendant une p riode entitygpe cons cutifs l etat peut entityorg concession dans les conditions pr vues au code minier ,566
3461,ocds-591adf-8033884916,Confidentiality,royalties,le document sp cifie que la convention n est pas confidentielle et tous les rapports plans et informations fournis par la entityperson en vertu de la convention l etat sont sauf si sp cifi autrement des documents de nature publique certaines affaires sont sp cifiquement identifi es comme non confidentielle incluant quantit s de production emplois offerts redevances et paiement des taxes etc ,394
3478,ocds-591adf-8033884916,Work and investment commitments,stabilization,entityorg s engage r aliser les investissements n cessaires la r alisation du projet tels que ceux ci r sulteront notamment des tudes et d cisions sur les infrastructures en application des dispositions de la pr entitentityorg la soci t s engage aussi d buter l exploitation au pentitycardinals tard dans les entitycardinal mois prorogation de numericvalue mois sur demande d ment justifi e suivant la dateentityorg e en vigueur de la convention ,446
3483,ocds-591adf-8033884916,Company structure,royalties,l etat a une participation non pay e de entitypeentityorgnt amc la soci t m re a les actionnaireentitentityperentitentityperentitentitypercentltd percentvalue acorn capientitycardientitypercentlimited percentvalue actionnaires minoritaires numericvalue percentvalue,265
3485,ocds-591adf-8033884916,Term,royalties,equivalent la dur e de la entitentitycardinalpe numericvalue ans engagement de l etat reentitygpea concessentitycardinaln entitycardinala fin des numericvalue ans pour numericvalue ans suppl mentaires,200
3510,ocds-591adf-8082857980,"Sacred, cultural, or historical sites",royalties,the contractor shall recognize and respect the rights customs and traditions of indigenous cultural communities over their ancestral lands and shall pay royalties at the rate of not entitypercent the value of the gross output of minerals sold entityproduct 1 j 1,262
3627,ocds-591adf-7919066275,Income tax: other,royalties,the chargeable assessable income for the income tax will be calculated according to entityorg royalties will be allowed as a deductible operating expense provided the royalties are not credited against or considered as part payment of the aggregate income tax liability payable to the government the amount of tax losses that can be utilized to offset chargeable incoentitydatey year of assessmentitentitycardinaldate be years numericvalue an amount of loss such that the entitypercent not be less than percentvalue of the income tax due if no losses were carried forward any losses disallowed may bentitentitycardinalated forward indefinitely years numericvalue thereafter as applicable under the income tax act if at any time the act offers a greater utilientityorg losses than described here london mining may take advantage of suentitypercentater utilization an initial allowance of percentvalue of the cost of qualifying capital expenditure will bentitydateible in determining its chargeable incomeentitydatehe year in whentityperceentitydate with an annual allowance rate of percentvalue deductible in each subsequent year until the full cost has been deducted where an asset that falls within the definition of qualifying capital expenditure is scrapped destroyed or sold for less than the balance of the cost minus the allowances granted the balance is fullyentitydateble against chargeable income in the form of a scrapping allowance in the year the disposal salentityorgion occurs see 5 6c for definition of qualifying capital expenditure london mining may elect to defeentitydateons for the whole or any part of its qualifying capital eentityorgn any financial year to subsequent financial years withoutentitentitycardinentitycardinalldateme however london mining may not defer any deduction that would be initially claimed in any of years numericvalue to numericvalue,1879
3630,ocds-591adf-7919066275,Financial obligations - community or commodity funds,royalties,entityorg will make payments in respect of its community development agreemententitydate years coentitydate in entityorghich london mientitycardinallls at least onentityorgnes of iron ore london mining agrees to make payments in accordance with a community developentitypercenttotaling in aggregate at least percentvalue of the revenue recentitydatethe mining operation on saleentityquantityattributable upentitydateof numericvalue million tons of iron ore sold in each such year these payments are treated as additional royalty payments for accounting and other business purposes and will be treated as expenses on social services for purposes of income taxation ,664
3799,ocds-591adf-6459881214,Income tax: rate,stabilization,entityorg will be taxed on its net taxable income in accordance with the tax law of general application provided that the aggregate rate of tax applicable to its net taxable income will not eentitypercentd percentvalue,218
3823,ocds-591adf-6561806963,Income tax: rate,royalties,income earned from a source in entityorg by foreign nationals is subject to tax at the raentitypercentof percentvalue,117
3980,ocds-591adf-6994803993,Other - financial/fiscal,royalties,entityorg shall be subject tentitypeentityorgnity of wesentitypersonstates trade levy on all goods from non ecowas stateentitygpe it imports into liberia at the rate establishentityorghat cavalla rubber corporation and affiliated parties acquire certified emission reduction credits or other carbon or carbon equivalent emission reduction credits or any corresponding monetary value or cost savings that result from entityorgductions cavalla rubber corporation shall pay a roentitydateed that for the first numericvalue years of the entitypercentthe rate of such royalty shall not exceed percentvalue of the equivalent monetary value of the entityorgdits shall be included in cavalla rubber corporation s gross income for purposes of determining taxable income ,761
3981,ocds-591adf-6994803993,Custom duties,royalties,entityorg shall pay import duties in accordance with law but shall be exempt from import duties on all equipment supplies and goods purchased for the purposes of meetings its social obligations with the intention of use wentitydate1 year of purchase it shall also be exempt from import duties on capital equipment and capital goods sentityorgappendix iii of the contract during the rehabilitatentityorentitydate of tentityorgrm cavalla rubber corporation shall pay duties and taxes on imports of fuel and all otherentityorgt by law cavalla rubber corporation shall pay a customs user fee on imports as required by law on all items that are not suentitydateed that for the first numericvalue yeaentitypercenthe term such amount is not greater than percentvalue of the cif liberia port value aentitypercentor unprocessed entitypercent not exceed percentvalue fob and for semi processed percentvalue exportable ,908
4027,ocds-591adf-7041399452,Governing law,stabilization,the contract and its associated rights and obligations is governed by and construed in accordance with the domestic substantive law of entitygpe without giving effect to any choice or conflict of law provision or rule that would cause the application of the laws of any other jurisdiction in the absence of any applicable substantive lentitygpe sudan the governing law will be the domestic substantentitygpentitygpe england and wales ,434
4083,ocds-591adf-5399370669,Renewal or extension of term,stabilization,the contract may be extended the parties must meet no later than entitydate to discuss the terms and conditions of an extensioentityfacroleum has satisfied all of its key performance indicators by this meeting date it may request an extension of tentitydate to numericvalue years with a noentitynorpen to entitydateovernment within numericvalue days following the meeting date any dientityfacerning whether golden veroleum has met its performance indicators will be settled through the contract terms on arbitration the fiscal provisions for the term extension will be negotiated by the parties provided that i each fiscal provisentityfache most favorable to golden veroleum between a the generally applicable law and b the most favorable provision contained in similar agreements additionally any fiscal terms that are stabilized immediately prior to the expirentitycardinalerm can not be increased by more than percentvalue and will be subject to escalation inentitydatee with the terms of the contract the non fiscal provisions will remain unchanged prior to granting a concession over the concessioentitynorpollowing the termination of the conentityorgrian government entitydatefer the same terms to golden veroleum and the partieentitynorp0 days to come to an agreement if no agreement is reached the liberian government cannot offer more favorable fiscal terms to another party ,1384
4141,ocds-591adf-5446807513,Income tax: exemptions,stabilization,entityorg shall be obliged to pay taxes tentityorg state in accordance with the law entitygpe of cambodia,105
4143,ocds-591adf-5399370669,Hardship clause or force majeure,stabilization,in the event that either party is unable to carry out an obligation other than an obligation for monetary payments under the contract because of force majeure the party will notify the other party of the particulars of the force majeure and the obligations of the party under force majeure will be suspended if the force majeure directly impacts entityorg ability to operate in any part of the concession area obligation to make payments of money for the use of that area after the occurrence of force majeure will be suspended if force majeure continueentityentityorgden veroleum may terminate the agreement or ifentitydateinues fentitypercent affects at least 80entitynorp concession area the liberian government may termentitypercenentitynorpajeure affects less than percentvalue the liberian government may terminate the contract only as to the affected portion termination of the contract due to prolonged force majeure will be without further obligations or cost if there is a disagreement regarding whether force majeure has ceased the dispute may be arbitrated force majeure is defined as threats such as war or terrorisentitycardinaltrictions rioting strikes lasting at least numericvalue days acts of god epidemics crop disease or any similar cause if either party feels that there are such changes in the economic conditions of the entitygpem industry or in the circumstances existing in liberia or elsewhere as to result in a material and fundamental alterations of the conditions relied upon by the parties when they entered into the contract it may notify the other party and provide reasonable information following which the parties will meet to review the matter and effect such change in or clarification of the contract that they agree is necessary each party may also at any time request a consultation with the other with respect to any matter affecting the rights and obligations of the parties under the contract ,1936
4156,ocds-591adf-5399370669,Income tax: rate,stabilization,golden veroleum will be taxed on its net taxable income pursuant to the laws of entitygpe and accordientityorgndards guidelines to aentitypeentitydatetof percentvalue until numericvalue if at any time the law of general application provideentityorgax rate golden veroleum will be entitled to that lower rate subsentityorg same group as golden veroleum may fentityorgd taxes jointly with golden verentityfaentityentityorgolden veroleum in each fiscal year golden veroleum s total tax entitycardinalility excluding loss carried forwaentitygpe be limited to percentvalue of what it would have had to pay under liberia s general law of application ,644
4161,ocds-591adf-5399370669,Withholding tax,royalties,golden veroleum will withhold entitypercent dividends license fees royalties and other similar payments if a lower withholding tax rate is generally applicable under the laentitygpeiberia that rate may be usentityfacden verolentitypercentold percentvalue of payments for services and other payments made in connectionentitygpets activities in liberia to residents or non residents however if there is a lower generally applicable withholding tax entityfac used insentitypercentgolden veroleum will withhold percentvalue of payments for rent ,541
4227,ocds-591adf-5085611127,Carbon credits,royalties,to the extent entityorg or its affiliates realize certified emission reduction credits or other carbon or carbon equivalent emission reduction credits or any corresponding monetary value or cost savings that result from greenhouse gas emission reductions whether createntityorgentityordinalp or a third pentityorg acting under mopp s direntityorgon assocentityorgd with mopp s activitentitynorpp will pay a royalty to the liberian entitygpeent in accordance entityorentitydatews of liberia provided that for theentitycardinal years of the term of the contract the rate is no more than numericvalue of the equivalent monetary value of the emission reduction credits or correspondingentityorgt savings the emission reduction credits will be included in mopp s gross entitygpefor purposes of determining its taxable income under the laws of liberia ,846
4231,ocds-591adf-5085611127,Assignment or transfer,stabilization,entityorg will not assign its obligations or rights or otherwise encumber its rights under this contract to any other person without the prior written consent oentitynorpberian government which shall not be unreasonably withheld any change ofentityorgtrol of mopp such that it is no longeentityorgaffiliate of sifca or any otheentityorgity which controls sifca will rentitynorpritten consent of the liberian government which will not be unreasonably withheld this contract may not be assigned transferred to any prohibited person or any person owned or controlled by a prohibited person ,587
4246,ocds-591adf-5085611127,Income tax: rate,stabilization,entityorg will be taxed on net taxable income according to the tax laentitygpeiberia provientitydaterst numericvalue yeaentityorgfter the date mopp makes its first shipment of oil palm products the applicable tentitypercentate does not eentitynorp entitypercentliberian law is less entityorg percentvalue during the term of the contract mopp will be entitled to that lower rate ,378
4296,ocds-591adf-6185563903,Income tax: rate,royalties,all local employees are subject to pay as you earn tax consistent with the provisions of entityorg numericvalue as amended income earned form a sourentityperson leone by foreign nationals is subject to tax at entitypercentrate of percentvalue this will be based on the requirements for residency as provideentitydate sections numericvalue of the income tax act numericvalue as amended ,385
4347,ocds-591adf-6230864133,Other - miscellaneous,stabilization,the agreement is fully agreed by the government and entityorg it shall not be suject to modification or change except when there is a written agreement signed and recognized by both parties ,190
4506,ocds-591adf-9184108555,Training,royalties,the entityorg shall pay attention to technical training of its staff workers and their families,95
4601,ocds-591adf-8891537745,Income tax: other,royalties,the loss carried forward period will be extended for a period of entitydate startingentitydatet yeentityorgin which ada commercial haentityorgaxable income ada commercial must pay any tentitynorptax required by liberian law bentitypercente amount will not exceed percentvalue of its gross income and will be creditable against future tax obligations ,350
4605,ocds-591adf-8891537745,Financial obligations - community or commodity funds,royalties,entityorg commercial will pay into a community develoentitymoney00 000 us dollars per year tax deductible oentitypercenthan percentvalue will be used for the development of farmentityorg cooperatives ada comentityorg a rice development fund percentvalue of its gross sale ,272
4607,ocds-591adf-8891537745,Withholding tax,royalties,during entityentityorgercial will withhold from interest paid to non resident persons the amount of taxes and duties required by law noentitypercentxceed percentvalue of such payments,183
4643,ocds-591adf-8891537745,Other - miscellaneous,stabilization,any breach by entityorg commercial or the government of an obligation under the contract or any inability of the government to honor an obligation under this contract due to a change in the laentitygpeiberia subsequent to the date the contract came into force entitles the party affected by such breach to be indemnified by the party that has breached its obligation in an amount equal to the damage suffered by the affected party,430
4671,ocds-591adf-8891537745,Governing law,stabilization,the contract as well as the rights and obligations under it will be interpreted in accordance with the laws of entitygpe and by applicable rules and principles of international laws particularly with regard to an investment by nationaentitycardinalof one country in another country in the event of a conflict between the contract and entitygpes of liberia with theentitylawf the constitution the obligations and duties of a party will be deemed to be those setentityorgact the constitution at the time the contract came into force will prevail over any provisions of the contract ,580
4762,ocds-591adf-9936915808,Surface fees or rent,royalties,entityorg doit payer la redevance de superficie foresti re et toutes autres taxes et redevances en vigueur li es l exploitation de la concession dans les d lais prescrits par la r glementation fiscale ,201
4790,ocds-591adf-9858094519,Work and investment commitments,stabilization,entityorg has an obligation to perform all developmental activities in accordance with the agreed upon business plan if convincing amendment change is needed detailed explanation shall be submitted to the leentityorge bezu shall start developing the entitydatehin numericvalue months from the signing of the land lease agreement provided that all relevant government licenses entitypersongashaw taentitycardinalbezu shall deventitydate the leased land within numericvalue year from the date the land lease agreement was signed and must have deveentitydatehe entire leased land within numericvalue years of the date the land lease agreement was signed ,651
4857,ocds-591adf-9515165470,Income tax: rate,royalties,after any entitycardinal exempt periods that start from the initial production datentitypersonmeroon will be taxed on taxable profits at a flat rate noentitypercento exceed percentvalue,185
4883,ocds-591adf-9505117998,Other - financial/fiscal,royalties,the government entitentityorgnaf sa and entityorghana limited agree that the proceed from any harvested gmelina trees from the plantation shall be equitably shared and apporentitypeentitypeentityentitypercent percentvalue royalty entityperson percentvalue the government andentitypeentitynorpi industrial plantation limited combinedentityorgably the entitypersonensedentitypercentger appointed by the forestry commision mentioned in art 6 1 a percentvalue each party shall pay its own costs and expenses incurentityorghe preparation execution and carrying into effect of this agreement socfinaf will pay all applicable stamp and transfer duties and registration fees ,667
4898,ocds-591adf-9515165470,Governing law,stabilization,the contract and the rights obligations and duties of the parties to it is to be construed and interpreted in accordance with entitynorp law which includes judicial decisions and executive orders and by applicable rules and principles of international law particularly regarding investment by nationaentitycardinalof one country in another country however in the event of a conflict between the contract and any law entitylentitygpetution of cameroon as in effect as of the contract date the rights obligations and duties of each party are deemed to be those as set out in the contract ,586
4922,ocds-591adf-7583138866,Other - operational,stabilization,upon entering into this agreement entityorg shall submit an advance action plan with regards to the use of the leased laentitentitygpee agropeace is required to execute all development activities as per the agreed business plan change to or deviation from the business plan must be reported withentitentityorgf agriculture agropeace shall not make any unauthorized use of the leased land beyond the predetermined purpose objective or plan as permitted under this agreement withentityentityorgulture the ministry of aentitygpee entitydateeliver the site plan to agropeace within numericvalue days of signing the contract entityorgte entityorg to aentitygpe agropeace despite the minientityorgng agropeace in writing of the complication the ministry of agriculture shallentitydatey responsibility of such failure the land shall be transferred within numericvalue days of the signing of the contract immediately after which the contract shall come into force,955
5011,ocds-591adf-7435167933,Work and investment commitments,stabilization,entityorg is expected to start developing the land wentitydatemonths from the date of execution of the agreement or from the date that it receives final clearance from the government whicheveentitypersono industrentitycardinal shall develop numericvalue of the entityquantity laentitydateectares within the first year it shall develop the entire plot ofentitycardinald within a period of not more than numericvalue yentityorginto this agreement toren agro industries shall submit an advance action plan with regards tentitypersoned land to the government toren agro industries has to execute all development activities as per the agreed business plan change to or deviation from the business plan must be reported with justification to the government ,751
5032,ocds-591adf-7484523034,Income tax: rate,royalties,entitentitygpembodia shall be obliged to pay tentityorgto the state ientitynorpnce with cambodian law,101
